Type de bien,Localisation,Salles de bains,Superficie,Prix,Chambres
Appartement,Ariana,3,150,400000.0,3.0
Appartement,Nabeul,1,60,125000.0,1.0
Villa,Ariana,3,517,1150000.0,5.0
Appartement,Ariana,2,54,50516006.0,1.0
Villa,Nabeul,4,485,890000.0,4.0
Villa,Nabeul,3,845000,905000.0,4.0
Appartement,Ben Arous,2,600,95000.0,1.0
Appartement,Sfax,2,128,276000.0,2.0
Appartement,Ariana,8,1274,2500000.0,1.0
Appartement,Ariana,1,100,220000.0,3.0
Appartement,Ariana,1,60,90000.0,1.0
Villa,Ariana,3,320,530000.0,5.0
Maison,Tunis,1,200,220000.0,4.0
Maison,Nabeul,1,197,240000.0,2.0
Appartement,Ariana,2,150,360000.0,3.0
Appartement,Ariana,1,200,250000.0,2.0
Appartement,Sousse,2,118,315200.0,2.0
Villa,Ben Arous,2,350,650000.0,4.0
Maison,Nabeul,1,200,140000.0,2.0
Appartement,Bizerte,2,2,200000.0,2.0
Appartement,Sousse,1,80,76000.0,2.0
Appartement,Tunis,1,179,313000.0,2.0
Villa,Ariana,4,530,1600000.0,5.0
Villa,Nabeul,3,460,920000.0,4.0
Villa,Nabeul,5,700,650000.0,7.0
Appartement,Tunis,1,80,325000.0,2.0
Appartement,Tunis,2,100,255000.0,2.0
Appartement,Tunis,2,113,330000.0,2.0
Appartement,Ariana,1,100,160000.0,4.0
Appartement,Tunis,1,1,205000.0,1.0
Appartement,Tunis,1,1,167000.0,1.0
Appartement,Tunis,1,57,165000.0,1.0
Appartement,Tunis,1,50,230.0,1.0
Appartement,Ben Arous,1,100,180000.0,2.0
Appartement,Ben Arous,2,2600,95000.0,1.0
Appartement,Tunis,1,110,250000.0,3.0
Appartement,Tunis,0,590,262999.0,0.0
Appartement,Tunis,1,112,330.0,2.0
Appartement,Tunis,2,170,365000.0,4.0
Appartement,Tunis,2,114,330000.0,2.0
Appartement,Tunis,2,140,315000.0,3.0
Appartement,Tunis,2,140,360000.0,3.0
Villa,Sfax,3,390,530000.0,4.0
Villa,Ariana,3,300,960000.0,3.0
Appartement,Tunis,1,61,205000.0,1.0
Appartement,Ariana,2,110,240.0,3.0
Villa,Tunis,1,376,280000.0,4.0
Appartement,Ben Arous,1,145,280000.0,3.0
Appartement,Ariana,2,177,400000.0,4.0
Appartement,Ben Arous,1,100,230000.0,2.0
Appartement,Tunis,1,40,169000.0,1.0
Appartement,Ariana,1,65,199000.0,1.0
Appartement,Tunis,1,118,327000.0,2.0
Appartement,Tunis,2,105,480000.0,2.0
Appartement,Tunis,1,58,183000.0,1.0
Appartement,Sousse,1,116,311500.0,2.0
Appartement,Sousse,1,47,195000.0,1.0
Appartement,Sousse,1,75,195000.0,1.0
Appartement,Sousse,1,105,355000.0,2.0
Appartement,Sousse,2,107,125000.0,3.0
Appartement,Tunis,03,637,850.0,5.0
Appartement,Sousse,1,81,217998.0,2.0
Appartement,Sousse,1,49,220000.0,1.0
Appartement,Tunis,1,59,176000.0,1.0
Appartement,Tunis,1,80,305000.0,2.0
