Localisation,Type de bien,Superficie,Nb_Salles De bain,Nb_Chambres,Prix
Ariana,villa,320.0,3.0,5.0,530000.0
Nabeul,Maison,197.0,1.0,2.0,240000.0
La_Manouba,Maison,300.0,1.0,3.0,192989.71698165592
Ariana,villa,517.0,3.0,5.0,1150000.0
Nabeul,villa,485.0,4.0,4.0,890000.0
Ben_Arous,villa,350.0,2.0,4.0,680000.0
Bizerte,villa,200.0,3.0,3.0,535697.9790170202
Bizerte,Maison,160.0,2.0,4.0,240949.81848204712
Bizerte,villa,180.0,2.0,3.0,535724.6569200353
Ben_Arous,villa,420.0,2.0,10.0,834193.0684080992
Nabeul,villa,265.0,2.0,3.0,480000.0
Nabeul,villa,470.0,4.0,4.0,950000.0
Nabeul,villa,700.0,2.0,3.0,717468.1513222783
Nabeul,Maison,200.0,1.0,2.0,346944.7938185823
Ariana,villa,530.0,4.0,5.0,734536.7057882267
Nabeul,villa,460.0,3.0,4.0,920000.0
Nabeul,villa,700.0,5.0,7.0,868858.4397235573
Tunis,Maison,384.0,1.0,3.0,700000.0
Ariana,villa,300.0,3.0,3.0,960000.0
Ben_Arous,villa,580.0,2.0,7.0,720599.7230091512
Ben_Arous,villa,1014.0,2.0,6.0,682766.3772729621
Ben_Arous,villa,1053.0,2.0,5.0,644900.7576880862
Ben_Arous,villa,445.0,2.0,5.0,1250000.0
Ben_Arous,villa,735.0,4.0,7.0,1150000.0
Ben_Arous,villa,444.0,1.0,3.0,550000.0
Tunis,villa,459.0,2.0,4.0,650000.0
Ben_Arous,Maison,148.0,2.0,4.0,370000.0
Ben_Arous,Maison,170.0,1.0,3.0,370000.0
Ben_Arous,Maison,450.0,3.0,3.0,580000.0
Ben_Arous,Maison,302.0,2.0,3.0,370000.0
Ben_Arous,Maison,309.0,2.0,3.0,650000.0
Ben_Arous,Maison,174.0,3.0,7.0,400000.0
Ben_Arous,Maison,183.0,2.0,5.0,680000.0
Ben_Arous,Maison,285.0,1.0,4.0,550000.0
Ben_Arous,Maison,289.0,2.0,5.0,620000.0
Ben_Arous,Maison,208.0,3.0,7.0,450000.0
Ben_Arous,Maison,341.0,3.0,6.0,650000.0
Ben_Arous,Maison,650.0,5.0,8.0,1000000.0
Ben_Arous,Maison,201.0,2.0,3.0,540000.0
Nabeul,villa,500.0,3.0,3.0,790000.0
Nabeul,villa,400.0,4.0,4.0,1030000.0
Ben_Arous,villa,417.0,1.0,4.0,480000.0
Nabeul,Maison,90.0,1.0,2.0,346935.8061645176
Sfax,Maison,303.0,2.0,5.0,350000.0
