Région,Localisation,Type de bien,Nature,Superficie,Salles de bains,Chambres,Prix,Date_De_Modification,Annonce
Ariana,Ariana,villa,À Vendre,320,3,5,530000,N/A,Villa a vendre a Soukra
Nabeul,Nabeul,Maison,À Vendre,197,1,2,240000,N/A,"A vendre une belle maison S+2 située aux environs de Hammamet - 5mn en voiture de la ville ,10mn de la plage"
La Manouba,La_Manouba,Maison,À Vendre,300,1,3,85,2024-12-17,maison a el hafsia borj el amri
Ariana,Ariana,villa,À Vendre,517,3,5,1150000,2024-12-17,A vendre une villa de 340m² sur un terrain de 517m²
Nabeul,Nabeul,villa,À Vendre,485,4,4,890000,2024-12-17,"Villa "" SEBASTIAN"""
Ben Arous,Ben_Arous,villa,À Vendre,350,0,4,680000,2024-12-17,villa à Ezzahra
Bizerte,Bizerte,villa,À Vendre,200,3,3,450,2024-12-17,une villa style duplex
Bizerte,Bizerte,Maison,À Vendre,160,2,4,385,2024-12-17,deux maisons hautes standing à vendre
Bizerte,Bizerte,villa,À Vendre,180,2,3,0,2024-12-17,une villa style duplex
Ben Arous,Ben_Arous,villa,À Vendre,420,2,10,0,2024-12-17,"A vendre Belle villa 
420 m2"
Nabeul,Nabeul,villa,À Vendre,265,2,3,480000,2024-12-17,Villa avec piscine à 200 mètres plage Ezzahra Hammam ghzeez
Nabeul,Nabeul,villa,À Vendre,470,4,4,950000,2024-12-17,"Villa "" JIMBARAN """
Nabeul,Nabeul,villa,À Vendre,700,2,3,0,2024-12-17,A vendre une villa à Mimosa Nabeul          📞28256772📞
Sfax,Sfax,villa,À Vendre,1918,2,3,540000,2024-12-17,Villa à vendre 1918m² à Route Manzel chaker km 3.5
Nabeul,Nabeul,N/A,À Vendre,60,1,1,125000,2024-12-17,Studio encours de construction à cité Mirdès 2 Kelibia
Nabeul,Nabeul,villa,À Vendre,845000,3,4,1,2024-12-17,"VILLA "" FLAMINGO """
Nabeul,Nabeul,Maison,À Vendre,200,1,2,0,2024-12-17,A vendre une maison  située à Beni khiar Nabeul
Ariana,Ariana,villa,À Vendre,530,4,5,1600000,2024-12-17,A VENDRE : Luxieuse villa S+5 situé à La Soukra
Nabeul,Nabeul,villa,À Vendre,460,3,4,920000,2024-12-17,UNE BELLE VILLA S4 A VENDRE A HAMMAMET
Nabeul,Nabeul,villa,À Vendre,700,5,7,0,2024-12-17,BELLE ET GRANDE VILLA A VENDRE A HAMMAMET NORD ZONE TOURISTIQUE
Tunis,Tunis,Maison,À Vendre,384,N/A,N/A,700000,2024-12-17,A vendre une maison a l'aouina
Ariana,Ariana,villa,À Vendre,300,3,3,960000,2024-12-17,a vendre une villa S+3 avec piscine a la soukra
Ben Arous,Ben_Arous,N/A,À Vendre,1279,1,4,1900000,2024-12-17,À VENDRE TERRAIN D’ANGLE AV DE FRANCE À RADES MONGIL
Ben Arous,Ben_Arous,villa,À Vendre,580,2,7,1500000,2024-12-17,À VENDRE VILLA EXCEPTIONNELLE SUR LES HAUTEURS DE RADES MONGIL
Ben Arous,Ben_Arous,villa,À Vendre,1014,2,6,2400000,2024-12-17,À VENDRE EXCEPTIONNELLE VILLA SUR LES HAUTEUR DE RADES MONGIL
Ariana,Ariana,N/A,À Vendre,374,5,4,0,2024-12-17,à vendre un triplex avec piscine à la soukra
