Localisation,Configuration des pièces,Superficie,Chambres,Type de bien,Annonce,Type de transaction,Prix,Salles de bains
Nabeul,,100,2,,Rez de chaussé à 50 mètres corniche  el Marsa Kelibia,À Vendre,195000,1
Monastir,,False,False,,Terrain à Vendre,False,550,False
Sousse,,60,1,,Studio à deux km de marina kantawi,À Louer,400,1
Sousse,,False,False,,Maison snite s+2 sousse cité riadh 1,À Vendre,180000,False
Nabeul,,False,False,,terrain à vendre,False,,False
Monastir,,460,5,,Villa de style américain,À Vendre,520000,2
Ben Arous,,135,False,,Duplex s+4 à Boumhel,À Vendre,380000,False
Ben Arous,,100,2,,Appartement s+2 à Bougarnine,À Louer,700,1
Ben Arous,,58,1,,Appartement s+1 entre Ezzahra et rades,À Vendre,150000,1
Ben Arous,,90,1,,Appartement s+1 Entre Ezzahra et Rades,À Vendre,,1
Ben Arous,,200,4,,Duplex à usage commercial,À Louer,2500,5
Tunis,,80,1,,studio meublé par nuitée à la marsa,À Louer,100,1
Sousse,,False,False,,terrain sahloul,False,325000,False
Ariana,,100,1,,Dépôt Premium pour Stockage – 100m² Disponibles à La Soukra,À Louer,990,1
Ariana,,100,2,,Maison meublée à louer à Borj louzir Ariana s+2,À Louer,,1
Ben Arous,,120,5,,une maison deux nuveaux à vendre a El Mourouj 3,À Vendre,350,3
Ariana,,False,False,,a vendre terrain ennkhilet de 575 m,False,373750,False
Ariana,,636,4,,A vendre villa cité chaker borj touil,À Vendre,320000,2
Monastir,,400,3,,villa de style américain,À Vendre,1480000,3
Monastir,S+2,94,2,,Appartement S+2  meublé à vendre,À Vendre,225000,1
Monastir,S+1,47,1,,Appartement S+1,À Vendre,135000,1
Monastir,S+3,200,5,,deux appartement à vendre S+3 et S+2,À Vendre,200000,2
Monastir,S+2,83,2,,Appartement S+2 à vendre,À Vendre,120000,1
Monastir,,False,False,,Terrain Agricole de 1241 m²,False,85000,False
Monastir,S+2,90,2,,Appartement S+2 à vendre,À Vendre,115000,1
Monastir,S+2,94,2,,Appartement S+2  meublé à vendre,À Vendre,225000,1
Sousse,,False,False,,ارض فلاحية مسجلة ملكية فردية,False,165000,False
Sousse,,False,False,,ارض فلاحية مسجلة ملكية فردية,False,120000,False
Ariana,,139,2,,Appartement à louer  soukra,À Louer,1850,2
Sousse,,False,False,,ارض فلاحية مسجلة ملكية فردية,False,125000,False
Tunis,,57,2,,studio meublé a laouina,À Louer,120,1
Sfax,,160,3,,apparemment,À Louer,600,1
Sousse,,1,2,,un réez de chaussé meublé à louer hammam-sousse,À Louer,1800,2
Sousse,,False,False,,ارض فلاحية مسجلة ملكية فردية,False,400000,False
Ariana,,False,False,,ارض سكنية. للبيع,False,150000,False
Sousse,,4000,1,,Maison de Campagne à Kalâa  Kebira,À Vendre,430000,1
Sousse,S+1,75,1,,(S+1) à  Chatt Mariem Prés de la Mer,À Vendre,195000,1
Sousse,,False,False,,"Terrain (R+4 ) au Centre de Hergla, Prés de la Mer, destiné Pour Une Promotion Immobilière",False,450000,False
Sousse,S+2,108,2,,(S+2) à Bouhsina Directe Promoteur,À Vendre,283500,1
Sousse,,90,1,,Bureau (A+1)  Nouvelle Construction  Prés Hôpital Farhat Hached,À Vendre,313000,1
Sousse,S+1,65,1,,(S+1) à khezema EST Direct Promoteur,À Vendre,200000,1
Sousse,,532,6,,Villa à  Kssibet  Sousse dans un  Quartier  Résidentiel,À Vendre,570000,3
Ben Arous,S+3,170,3,,Etage de villa S+3 à Rades Meliene.,À Louer,250,2
Tunis,,85,3,,appartement meuble,À Louer,80,1
Ariana,S+2,140,2,,Rez-de-jardin en S+2 en Location à Ennasr 2,À Louer,1000,1
Ariana,S+1,67,1,,S+1 meublé à Jardin d'Ennasr,À Louer,1300,1
Ariana,S+4,167,4,,S+4 en Vente à Ennasr 2,À Vendre,395000,2
Sousse,,False,False,,"**À Vendre : Terrain d'Exception en Bord de Mer à Hergla, Gouvernorat de Sousse",False,1500,False
Ariana,S+1,50,1,,S+1 meublé à Ennasr,À Louer,1200,1
Ariana,S+1,45,1,,S+1 en Location à Ennasr 2,À Louer,750,1
Ariana,,73,1,,s+1 en Location à Ennasr,À Louer,1000,1
Ariana,S+1,54,1,,S+1 en Location à Ennasr 850dt,À Louer,850,1
Gabès,,False,False,,9 hectar menzel habib gabes,False,12000,False
Sousse,S+1,45,1,,Appartement S+1 direct promoteur en vente,À Vendre,131776,1
Tunis,,100,1,,à louer appartements court séjour,À Louer,79,1
Tunis,,80,1,,App S1 ou S2 meublé à Jardin de carthage,À Louer,150,1
Nabeul,,False,False,,Terrain d’habitation 800 m² à Dar Allouche,False,195000,False
Sfax,,1700,False,,عقار تجاري مميز للبيع في صفاقس,À Vendre,,False
Tunis,,80,1,,App S1 ou S2 meublé aux Berges du lac 2 Tunis,À Louer,160,1
Ariana,,125,2,,appartement S 2 haut standing jardin d'el Manzeh 1,À Louer,,2
Kairouan,,False,False,,A VENDRE TERRAIN  400M2 MANSOURA  KAIROUAN 320dt le m2  AVEC TITRE FONCIER AU LOTISSEMENT APPROUVE A EL MANSOURA PRES DE L'HOPITAL ELSELMEN  ET LA FUTURE VILLE MEDICALE,False,128000,False
Sfax,,140,3,,A louer un étage de villa dans une petite résidence à gremda,À Louer,620,2
Nabeul,S+6,571,6,,Villa S+6 avec piscine à Hammamet Sud,À Vendre,1550000,4
