Type de bien,Localisation,Annonce,Configuration des pièces,Type de transaction,Salles de bains,Superficie,Prix,Chambres
,Ariana,A vendre un appartement de 150m² en S+3 à Ennasr,S+3,À Vendre,3,150,400000,3
,Nabeul,Studio encours de construction à cité Mirdès 2 Kelibia,,À Vendre,1,60,125000,1
,Ariana,A louer un appartement en S+1 à Ennasr,S+1,À Louer,1,65,800,1
,Ariana,A vendre une villa de 340m² sur un terrain de 517m²,,À Vendre,3,517,1150000,5
,Ariana,avendre fond de commerce,,À Vendre,2,54,50516006,1
,Tunis,S+2 Bel Emplacement à Gammarth,S+2,À Louer,1,80,650,3
,Nabeul,"Villa "" SEBASTIAN""",,À Vendre,4,485,890000,4
,Ariana,matériel hjema,,False,False,False,500,False
,Tunis,A Louer un bureau très haut standing A+2 à l'Aouina,,À Louer,2,150,1400,2
,Nabeul,"VILLA "" FLAMINGO """,,À Vendre,3,845000,,4
,Ariana,Local à Menzah 7,,À Louer,2,1000,5000,1
,Nabeul,projet de reve a menzel bouzelfa,,False,False,False,,False
,Tunis,Terrains R+2 à l'Aouina,,False,False,False,680000,False
,Ariana,"A LOUER LOCAL COMMERCIAL  AU JARDIN D'ELMENZEH 2     POUR SALON DE COIFFURE,BUREAUX  ET TOUS COMMERCES",,À Louer,False,45,1200,1
,Ben Arous,Local 600 m² à Megrine St. Gobain,,À Vendre,2,600,95000,1
,Tunis,studio meublé a laouina,,À Louer,1,57,90,2
,Ariana,Local 200 m² à Ennasr 2,,À Louer,2,200,3500,1
,Sfax,Appartement S+2 à Teniour,S+2,À Vendre,2,128,276000,2
,Nabeul,Terrains à El Haouaria,,False,False,False,1000,False
,Ariana,Studio meublé à Ennasr à louer par jour /nuitée dans Une résidence Calme et Sécurisée,,À Louer,1,32,60,1
,Ariana,Terrains à Chotrana 1,,False,False,False,250000,False
,Sousse,S2 meublé a sahloul4,,À Louer,1,120,1300,2
,Tunis,opportunité de location a ne pas rater a Menzah 9C (S+1+ PP),S+1,À Louer,1,70,1000,1
,Tunis,S+2 au Centre Urbain Nord,S+2,À Louer,1,120,1700,2
,Nabeul,garage à louer,,À Louer,1,200,,1
,Ariana,Espace 1274 m² à Charguia 1,,À Vendre,8,1274,2500000,1
,Tunis,studio meublé à laouina,,À Louer,1,70,90,2
,Tunis,studio meublé à louer,,À Louer,1,65,90,2
,La Manouba,terrain comercial,,False,False,False,750,False
,Ariana,A vendre S+2 Ennasr 2,S+2,À Vendre,1,100,220000,3
,Sousse,Appartement s+1 meublé à Sousse,,À Louer,1,1,1200,1
,Ariana,A vendre murs local 60 m² a Ariana,,À Vendre,1,60,90000,1
,La Manouba,Terrain 433 m² à Mornaguia Centre,,False,False,False,240000,False
,Ariana,Villa a vendre a Soukra,,À Vendre,3,320,530000,5
,Sousse,📣 Opportunité Rare : Immeuble R+5 avec Café-Restaurant Actif à Messadine 📣,,À Vendre,False,False,,False
,Tunis,S2 meublé à l'aouina,,À Louer,1,100,80,2
,Tunis,A louer local sur GP9  l'Aouina,,À Louer,1,140,4500,1
,Ariana,Bureau A+1 à Ennasr 2,,À Louer,1,50,800,1
,Ariana,Rez-de-chaussée à Ennasr 2,,À Louer,1,150,1600,2
,Sousse,local Commercial à louer a centre ville Sousse,,À Louer,1,137,3000,1
,Tunis,Bureaux à Montplaisir,,À Louer,2,100,1650,3
,Ariana,Terrain 6000 m² R+6 à Riadh Landalous,,False,False,False,820,False
,La Manouba,سانية,,False,False,False,780,False
,Tunis,Superbe maison arabe,,À Vendre,1,200,220000,4
,Ariana,Étage de villa spacieux et lumineux à louer,,À Louer,2,160,,4
,Nabeul,Terrain d’habitation 234 m² à coté du Fort kelibia,,False,False,False,105000,False
,Ben Arous,terrain idéal emplacement a Mornag,,False,False,False,,False
,Sfax,s+2 à laffrane city 4,,À Louer,01,102,900,03
,Ariana,"oppo Reno 12F 4G 8/256 Cacheté #Validé✔️
-Couleur :vert/Gris 
-Prix fiix non négociable: 799 dt
Vente en ligne  ☎️53137076 ➡️Dispo à Ariana / Tunis centre ville
🔴Echange : Non🔴",,False,False,False,799,False
,Ben Arous,Maison à louer pour étudiants à el mourouj 2,,À Louer,1,100,600,2
,Tunis,étage de villa meublé S+2 (1ér étage) à Tunis,S+2,À Louer,1,100,1500,0
,Tunis,"à louer appartement studio meublé location par jour nuitée tunis Ennasr 
شقة مفروشة 



s1 s2 s3",,À Louer,1,111,70,1
,Nabeul,Une Villa S3 a louer à l’année à Hammamet,,À Louer,3,500,1600,3
,La Manouba,مقاول موجود بمنوبة55671250,,False,False,False,1100,False
,Nabeul,"A vendre une belle maison S+2 située aux environs de Hammamet - 5mn en voiture de la ville ,10mn de la plage",S+2,À Vendre,1,197,240000,2
,Kairouan,22345586,,False,False,False,1111,False
,Ariana,"A saisir, terrain vierge au carrefour de deux rues",,False,False,False,600,False
,Nabeul,a vendre une immeuble à Mrezga derrière café gharnata,,False,False,False,,False
,Ariana,A vendre un appartement en S+3 de 150m² à Ennasr,S+3,À Vendre,2,150,360000,3
,Nabeul,villa avec piscine hammamet nord,,À Louer,2,1,350,4
,Ariana,À louer un bel appartement S2  jamais habité très haut standing avec place de parking sous sol,,À Louer,1,104,1300,3
,Nabeul,villa avec piscine hammamet nord,,À Louer,2,1,400,3
,Ariana,Appartement À Vendre,,À Vendre,1,200,250000,2
,La Manouba,مقاول entrepreneur 94270011,,False,False,False,300,False
,Sousse,"Maison a louer, pour cabinet de docteur, un avocat ou comptable en face Jackson pizza",,À Louer,1,180,1500,3
,Sousse,Espaces a louer plus de 5000 m pouvant être utilisé pour stocker de grands conteneurs,,À Louer,1,7000,123,10+
,Sousse,"Magasin industriel à vendre, 1600 m dans une zone agréé ouvert à trois voies",,À Vendre,3,16000,999,10+
,Ben Arous,À louer S+2 à Mourouj 6 / 98380449,S+2,À Louer,1,100,8,2
,Sousse,"Terrains à vendre, face à l'hôpital Sahloul, 4 parcelles adjacentes sur voix de 12 m",,False,False,False,1250,False
,Sousse,Atelier à louer,,À Louer,2,550,2800,3
,Nabeul,Villa de charme sur les hauteurs de menchar Hammamet,,À Louer,1,250,,2
,Sousse,"Terrain (R+4) à Cité Universitaire Riadh, il fait l'angle",,False,False,False,250000,False
,Ariana,Location Par Jour/Nuitée S1 Appt Studio Meublé A  El Menzah 8 Tel 58309017,,À Louer,1,80,70,1
,Sousse,أرض للبيع,,False,False,False,,False
,Ariana,"studio richement meublé ,climatisé à louer par jour :Ariana cité Ennasr 20011116",,À Louer,1,75,70,2
,Sousse,"(S+2) à Sahloul, Directe Promoteur",S+2,À Vendre,2,118,315200,2
,Ariana,"S1 Appartement Studio meublé, Location Courte Durée A Ariana:Menzah8, Ennasr Tel 58309017",,À Louer,1,80,80,2
,Sfax,A louer un étage de villa dans une petite résidence à gremda,,À Louer,2,140,600,3
,La Manouba,Terrain individuelle à Slimen Kehia,,False,False,False,354000,False
,Ben Arous,charmante villa à ezzahra,,À Vendre,2,350,650000,4
,Nabeul,A vendre une maison  située à Beni khiar Nabeul,,À Vendre,1,200,,2
,Tunis,A louer un local de 190m²,,À Louer,1,190,1300,1
,Ariana,A louer local de 190m²,,À Louer,1,190,1299,1
,Ariana,A LOUER UN APPARTEMENT S+2 à Mosquée RAWTHA SOUKRA,S+2,À Louer,1,90,580,2
,Bizerte,ثرية كريستال,,À Vendre,2,2,,2
,Sousse,S+2 au 1er étage à Bouhssina,S+2,À Vendre,1,80,76000,2
,Bizerte,A loue appartement A Hadadia Menzel jmile,,À Louer,1,1,300,2
,Nabeul,Terrain d’habitation 250 m² à Mansourah 2 kelibia,,False,False,False,155000,False
,Ariana,à louer Villa à chotrana2,,À Louer,2,0,3800,4
,Tunis,Une bonne opportunité d’investir à Jardin d’el Menzah 2,,À Vendre,1,182,900000,False
,Zaghouan,Ferme à zaghouan,,False,False,False,,False
,Sfax,terrain a vende route el ain,,False,False,False,11111,False
,Tunis,Deux locaL commerciales à Cité EL HADIKA,,À Vendre,1,45,60000,False
,Tunis,Une bonne opportunité d’investir à cité IBN SINA,,À Vendre,1,179,,2
,Tunis,A VENDRE : Un terrain de 400 m² situé à Sidi Boussaid,,False,False,False,2500000,False
,Ariana,A VENDRE : Luxieuse villa S+5 situé à La Soukra,S+5,À Vendre,4,530,1600000,5
,Tunis,A louer S+3 derrière Mosquée Ain Zaghouan Sud,S+3,À Louer,2,150,1350,3
,Ariana,dépôt a louer à borj louzir,,False,False,False,2200,False
,Ariana,à louer rez de jardin à Manzah8,,À Louer,1,0,1200,2
,Ariana,A Louer : Un appartement S+1 situé à La Nouvelle Soukra,S+1,À Louer,False,False,1050,1
,Tunis,A LOUER : Un spacieux et chaleureux appartement S+3 situé à Ain Zaghouan Nord ( Vide ),S+3,À Louer,3,180,2500,3
,Tunis,À VENDRE : Des appartements S+1 et S+2 direct promoteur situé à La Nouvelle Soukra,S+1,À Vendre,False,False,176000,False
,Ariana,A VENDRE : Des appartements S+2 et S+3 Direct promoteur situé à La Nouvelle Soukra,S+2,À Vendre,False,False,315000,False
,Nabeul,UNE BELLE VILLA S4 A VENDRE A HAMMAMET,,À Vendre,3,460,920000,4
,Tunis,"À VENDRE : Des appartements S+1, S+2 et S+3 situé au Jardin de Carthage",S+1,À Vendre,False,False,,False
