Region,Type,Area,#Bathrooms,#Bedrooms,Price
Ariana,Villa,320.0,3.0,5.0,530000.0
Nabeul,Villa,197.0,1.0,2.0,240000.0
La Manouba,Villa,300.0,1.0,3.0,130000.0
Ariana,Villa,517.0,3.0,5.0,1150000.0
Nabeul,Villa,485.0,4.0,4.0,890000.0
Ben Arous,Villa,350.0,2.0,4.0,680000.0
Bizerte,Villa,200.0,3.0,3.0,130000.0
Bizerte,Villa,160.0,2.0,4.0,130000.0
Bizerte,Villa,180.0,2.0,3.0,130000.0
Nabeul,Villa,265.0,2.0,3.0,480000.0
Nabeul,Villa,470.0,4.0,4.0,950000.0
Nabeul,Villa,700.0,2.0,3.0,130000.0
Nabeul,Appartement,60.0,1.0,1.0,130000.0
Nabeul,Villa,200.0,1.0,2.0,130000.0
Ariana,Villa,530.0,4.0,5.0,1600000.0
Nabeul,Villa,460.0,3.0,4.0,920000.0
Nabeul,Villa,700.0,5.0,7.0,130000.0
Tunis,Villa,384.0,2.0,4.0,700000.0
Ariana,Villa,300.0,3.0,3.0,960000.0
Ben Arous,Villa,580.0,2.0,7.0,1500000.0
Ben Arous,Villa,1014.0,2.0,6.0,2300000.0
Ben Arous,Villa,1053.0,2.0,5.0,1500000.0
Ben Arous,Villa,445.0,2.0,5.0,1300000.0
Ben Arous,Villa,735.0,4.0,7.0,1150000.0
Ben Arous,Villa,444.0,1.0,3.0,550000.0
Tunis,Villa,459.0,2.0,4.0,650000.0
Ben Arous,Villa,148.0,2.0,4.0,370000.0
Ben Arous,Villa,170.0,1.0,3.0,370000.0
Ben Arous,Villa,450.0,3.0,3.0,580000.0
Ben Arous,Villa,302.0,2.0,3.0,370000.0
Ben Arous,Villa,309.0,2.0,3.0,650000.0
Ben Arous,Villa,174.0,3.0,7.0,400000.0
Ben Arous,Villa,183.0,2.0,5.0,680000.0
Ben Arous,Villa,285.0,1.0,4.0,550000.0
Ben Arous,Villa,289.0,2.0,5.0,620000.0
Ben Arous,Villa,208.0,3.0,7.0,450000.0
Ben Arous,Villa,341.0,3.0,6.0,650000.0
Ben Arous,Villa,650.0,5.0,8.0,1000000.0
Ben Arous,Villa,201.0,2.0,3.0,540000.0
Ben Arous,Villa,206.0,4.0,8.0,650000.0
Ben Arous,Villa,383.0,3.0,6.0,550000.0
Nabeul,Villa,500.0,3.0,3.0,790000.0
Nabeul,Villa,400.0,4.0,4.0,1030000.0
Ben Arous,Villa,417.0,1.0,4.0,480000.0
Nabeul,Villa,90.0,1.0,2.0,130000.0
Ariana,Villa,300.0,3.0,5.0,1000000.0
Tunis,Villa,657.0,3.0,8.0,2300000.0
Sfax,Villa,303.0,2.0,5.0,350000.0
Tunis,Villa,587.0,3.0,5.0,1800000.0
Ariana,Villa,500.0,2.0,7.0,130000.0
Ariana,Villa,350.0,6.0,7.0,950000.0
Tunis,Villa,662.0,4.0,8.0,130000.0
Ariana,Villa,420.0,3.0,4.0,1200000.0
Monastir,Villa,208.0,3.0,5.0,315000.0
Nabeul,Villa,320.0,4.0,3.0,130000.0
Nabeul,Villa,500.0,4.0,2.0,830000.0
Nabeul,Villa,490.0,4.0,4.0,1250000.0
Sousse,Villa,180.0,1.0,4.0,130000.0
Bizerte,Villa,154.0,2.0,5.0,350000.0
Ben Arous,Villa,200.0,1.0,3.0,350000.0
Tunis,Villa,185.0,1.0,4.0,130000.0
Ariana,Villa,850.0,6.0,8.0,2200000.0
Bizerte,Villa,600.0,2.0,4.0,130000.0
Nabeul,Villa,350.0,2.0,5.0,1250000.0
Nabeul,Villa,800.0,4.0,4.0,1050000.0
Nabeul,Villa,397.0,4.0,4.0,1050000.0
Bizerte,Villa,300.0,2.0,3.0,349999.0
Ariana,Villa,400.0,2.0,4.0,900000.0
Nabeul,Villa,600.0,4.0,4.0,830000.0
Nabeul,Villa,420.0,3.0,4.0,760000.0
Nabeul,Villa,347.0,4.0,4.0,1100000.0
Tunis,Villa,572.0,1.0,3.0,580000.0
Monastir,Villa,916.0,2.0,3.0,680000.0
Nabeul,Villa,234.0,3.0,4.0,575000.0
Nabeul,Villa,269.0,1.0,3.0,400000.0
Nabeul,Villa,426.0,3.0,3.0,1000000.0
Nabeul,Villa,347.0,3.0,4.0,1100000.0
Tunis,Villa,282.0,2.0,4.0,130000.0
Ariana,Villa,500.0,2.0,5.0,360000.0
Nabeul,Villa,660.0,3.0,3.0,1470000.0
Sousse,Villa,360.0,4.0,7.0,549999.0
Ben Arous,Villa,566.0,3.0,3.0,130000.0
Ariana,Villa,224.0,2.0,4.0,130000.0
Ben Arous,Villa,216.0,2.0,3.0,375000.0
Ben Arous,Villa,418.0,4.0,7.0,790000.0
Ben Arous,Villa,420.0,3.0,4.0,590000.0
Ben Arous,Villa,94.0,1.0,4.0,140000.0
Ben Arous,Villa,200.0,1.0,3.0,325000.0
Ben Arous,Villa,206.0,1.0,3.0,360000.0
Sousse,Villa,792.0,1.0,3.0,1800000.0
Ben Arous,Villa,622.0,1.0,3.0,430000.0
Ben Arous,Villa,395.0,3.0,3.0,495000.0
Sousse,Villa,387.0,2.0,5.0,650000.0
Tunis,Villa,367.0,4.0,4.0,700000.0
Ben Arous,Appartement,622.0,1.0,3.0,800000.0
Tunis,Villa,101.0,1.0,2.0,212000.0
Zaghouan,Villa,160.0,3.0,7.0,600000.0
Sousse,Villa,760.0,3.0,6.0,130000.0
Sousse,Villa,365.0,4.0,6.0,130000.0
Tunis,Villa,378.0,3.0,3.0,130000.0
Tunis,Villa,410.0,3.0,4.0,1200000.0
