Region,Localisation,Type,Nature,Area,#Bathrooms,#Bedrooms,Price
Ariana,Ariana,villa,À Vendre,320.0,3.0,5,530000.0
Nabeul,Nabeul,Maison,À Vendre,197.0,1.0,2,240000.0
La Manouba,La_Manouba,Maison,À Vendre,300.0,1.0,3,85.0
Ariana,Ariana,villa,À Vendre,517.0,3.0,5,1150000.0
Nabeul,Nabeul,villa,À Vendre,485.0,4.0,4,890000.0
Ben Arous,Ben_Arous,villa,À Vendre,350.0,0.0,4,680000.0
Bizerte,Bizerte,villa,À Vendre,200.0,3.0,3,450.0
Bizerte,Bizerte,Maison,À Vendre,160.0,2.0,4,385.0
Bizerte,Bizerte,villa,À Vendre,180.0,2.0,3,0.0
Ben Arous,Ben_Arous,villa,À Vendre,420.0,2.0,10,0.0
Nabeul,Nabeul,villa,À Vendre,265.0,2.0,3,480000.0
Nabeul,Nabeul,villa,À Vendre,470.0,4.0,4,950000.0
Nabeul,Nabeul,villa,À Vendre,700.0,2.0,3,0.0
Sfax,Sfax,villa,À Vendre,1918.0,2.0,3,540000.0
Nabeul,Nabeul,,À Vendre,60.0,1.0,1,125000.0
Nabeul,Nabeul,villa,À Vendre,845000.0,3.0,4,1.0
Nabeul,Nabeul,Maison,À Vendre,200.0,1.0,2,0.0
Ariana,Ariana,villa,À Vendre,530.0,4.0,5,1600000.0
Nabeul,Nabeul,villa,À Vendre,460.0,3.0,4,920000.0
Nabeul,Nabeul,villa,À Vendre,700.0,5.0,7,0.0
Tunis,Tunis,Maison,À Vendre,384.0,,,700000.0
Ariana,Ariana,villa,À Vendre,300.0,3.0,3,960000.0
Ben Arous,Ben_Arous,,À Vendre,1279.0,1.0,4,1900000.0
Ben Arous,Ben_Arous,villa,À Vendre,580.0,2.0,7,1500000.0
Ben Arous,Ben_Arous,villa,À Vendre,1014.0,2.0,6,2400000.0
Ariana,Ariana,,À Vendre,374.0,5.0,4,0.0
Ben Arous,Ben_Arous,villa,À Vendre,1053.0,2.0,5,1500000.0
Ben Arous,Ben_Arous,villa,À Vendre,445.0,2.0,5,1300000.0
Ben Arous,Ben_Arous,villa,À Vendre,735.0,4.0,7,1150000.0
Ben Arous,Ben_Arous,villa,À Vendre,444.0,1.0,3,550000.0
Tunis,Tunis,villa,À Vendre,459.0,2.0,4,650000.0
Ariana,Ariana,,À Vendre,374.0,5.0,4,0.0
Ben Arous,Ben_Arous,Maison,À Vendre,148.0,2.0,4,370000.0
